Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price
Hilux Revo V Automatic 2.8,Toyota,sindh,2021,Diesel,Automatic,Attitude Black,Double Cabin,2800,28000,12500000
Aqua G,Toyota,sindh,2015,Hybrid,Automatic,White,Hatchback,1500,134000,4400000
Alto VXR,Suzuki,sindh,2021,Petrol,Manual,Solid White,Hatchback,660,31000,2350000
Corolla Altis Automatic 1.6,Toyota,sindh,2015,Petrol,Automatic,Grey,Sedan,1600,85000,3290000
Corolla GLi 1.3 VVTi,Toyota,sindh,2013,Petrol,Manual,Black,Sedan,1300,127000,3200000
Cuore CL Eco,Daihatsu,sindh,2011,Petrol,Manual,Grey,Hatchback,800,111400,1000000
Cuore CX Automatic,Daihatsu,sindh,2004,Petrol,Automatic,Blue,Hatchback,800,75000,960000
Vitz B Intelligent Package 1.0,Toyota,sindh,2007,Petrol,Automatic,Black Sand Pearl,Hatchback,1000,75000,2000000
Corolla Altis Grande CVT-i 1.8,Toyota,sindh,2020,Petrol,Automatic,Graphite Grey,Sedan,1800,40000,5700000
Prado TZ 4.0,Toyota,sindh,2009,Petrol,Automatic,Silver Metallic,SUV,4000,140000,9650000
Prius S LED Edition 1.8,Toyota,sindh,2013,Hybrid,Automatic,Silver Metallic,Sedan,1800,147602,4300000
Corolla Altis Grande CVT-i 1.8,Toyota,sindh,2015,Petrol,Automatic,Burgundy,Sedan,1800,103000,3350000
Freed,Honda,sindh,2012,Petrol,Automatic,Silver,Hatchback,1500,190000,3300000
Note e-Power X,Nissan,sindh,2020,Hybrid,Automatic,Pearl White,Hatchback,1200,5000,5875000
Raize Z,Toyota,sindh,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,29000,6100000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2019,Petrol,Automatic,Taffeta White,Sedan,1800,67000,5350000
e-tron 50 quattro 230 kW,Audi,sindh,2020,Electric,Automatic,Mythos Black Metallic,SUV,1000,33000,17400000
Swift GLX CVT,Suzuki,sindh,2025,Petrol,Automatic,Solid White,Hatchback,1200,40,5100000
Corolla GLi Automatic 1.3 VVTi,Toyota,sindh,2019,Petrol,Automatic,Grey Graphite,Sedan,1300,65000,4450000
Karvaan Plus,Changan,sindh,2021,Petrol,Manual,White,Mini Van,1000,87504,2200000
Benz C Class C63 AMG,Mercedes Benz,sindh,2017,Petrol,Automatic,Obsidian Black Metallic,Coupe,4000,80000,5000000
Alto VXL AGS,Suzuki,sindh,2021,Petrol,Automatic,Solid White,Hatchback,660,44000,2700000
Cultus,Suzuki,sindh,2006,Petrol,Manual,Blue,Hatchback,1000,90000,825000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2021,Petrol,Automatic,Lunar Silver Metallic,Sedan,1800,28000,6300000
Land Cruiser,Toyota,sindh,1992,Petrol,Manual,Black,Hatchback,3400,50000,3000000
Passo X L Package,Toyota,sindh,2020,Petrol,Automatic,Bright Silver Metallic,Hatchback,1000,46213,4100000
Ek Wagon GS Marble Edition,Mitsubishi,sindh,2012,Petrol,Automatic,Maroon,Hatchback,660,86000,1665000
Alto VXR,Suzuki,sindh,2010,Petrol,Manual,Unlisted,Hatchback,1000,170000,980000
Oshan X7 FutureSense,Changan,sindh,2024,Petrol,Automatic,White,Compact SUV,1500,26000,8500000
Corolla Altis Grande CVT-i 1.8,Toyota,sindh,2019,Petrol,Automatic,Phantom Brown,Sedan,1800,42000,4850000
Mira LSA 3,Daihatsu,sindh,2017,Petrol,Automatic,Silver,Hatchback,660,36500,2830000
Cuore CL Eco,Daihatsu,sindh,2008,Petrol,Manual,Silver,Hatchback,800,100000,850000
Land Cruiser ZX,Toyota,sindh,2022,Petrol,Automatic,White Pearl Crystal Shine,SUV,4600,3000,69000000
Alto,Suzuki,sindh,2010,Petrol,Automatic,Green,Hatchback,660,15000,1270000
Alto VXR,Suzuki,sindh,2011,Petrol,Manual,Solid White,Hatchback,1000,100000,1200000
HR-V VTi-S,Honda,sindh,2025,Petrol,Automatic,White,Crossover,1500,1,8200000
Corolla Altis CVT-i 1.8,Toyota,sindh,2015,Petrol,Automatic,Phantom Brown,Sedan,1800,72211,3700000
Cultus VXR,Suzuki,sindh,2007,Petrol,Manual,White,Hatchback,1000,125000,925000
Cultus VXL,Suzuki,sindh,2020,Petrol,Manual,Super Pearl Black,Hatchback,1000,55000,2825000
Prado TZ 3.4,Toyota,sindh,2002,Petrol,Automatic,White,SUV,3400,44228,9870000
Cultus VXR,Suzuki,sindh,2017,Petrol,Manual,White,Hatchback,1000,68000,2160000
Yaris Hatchback X,Toyota,sindh,2021,Petrol,Automatic,Silver Metallic,Hatchback,1000,40000,4350000
APV GLX,Suzuki,sindh,2019,Petrol,Manual,Silky Silver,MPV,1600,36000,4750000
Alto VXR,Suzuki,sindh,2021,Petrol,Manual,White,Hatchback,660,80000,2300000
Accord CL7,Honda,sindh,2004,Petrol,Automatic,Nighthawk Black,Sedan,2000,89000,2690000
Mehran VX Euro II,Suzuki,sindh,2014,Petrol,Manual,Graphite Grey,Hatchback,796,95000,1080000
City Aspire 1.5 i-VTEC,Honda,sindh,2018,Petrol,Manual,Ralley Red,Sedan,1500,80897,2950000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2017,Petrol,Automatic,Taffeta White,Sedan,1800,73200,4550000
Hijet,Daihatsu,sindh,2020,Petrol,Automatic,Silver,Hatchback,660,59000,1310000
Mira G SA III,Daihatsu,sindh,2022,Petrol,Automatic,Pearl White,Hatchback,660,4200,2325000
Hilux Revo GR-S,Toyota,sindh,2024,Diesel,Automatic,Attitude Black,Truck,2800,550,16390000
Hilux Revo GR-S,Toyota,sindh,2025,Diesel,Automatic,Attitude Black,Truck,2800,5,16800000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,sindh,2014,Petrol,Automatic,Black,Sedan,1800,88000,3550000
Corolla Altis Grande CVT-i 1.8,Toyota,sindh,2024,Petrol,Automatic,White,Sedan,1800,12000,7500000
Alto VXL AGS,Suzuki,sindh,2024,Petrol,Automatic,Solid White,Hatchback,660,47000,3100000
Mira L SA III,Daihatsu,sindh,2021,Petrol,Automatic,Unlisted,Hatchback,660,23700,3200000
Stella G Smart Assist,Subaru,sindh,2022,Petrol,Automatic,Pearl White,Hatchback,660,22000,3600000
Raize Z,Toyota,sindh,2020,Petrol,Automatic,Bright Silver Metallic,Crossover,1000,49000,5850000
Raize Z,Toyota,sindh,2021,Petrol,Automatic,Shining White Pearl,Crossover,1000,23000,6500000
Dayz X,Nissan,sindh,2022,Petrol,Automatic,Silver,Hatchback,660,12000,3590000
Cultus VXRi,Suzuki,sindh,2012,Petrol,Manual,Graphite Grey,Hatchback,1000,100000,1350000
Civic EXi,Honda,sindh,1999,Petrol,Manual,Silver,Sedan,1500,100000,1020000
2008 Active,Peugeot,sindh,2023,Petrol,Automatic,White,Crossover,1200,2790,6000000
A4 1.4 TFSI ,Audi,sindh,2018,Petrol,Automatic,Glacier White,Sedan,1400,103110,10500000
Corolla Hybrid WxB,Toyota,sindh,2020,Hybrid,Automatic,Pure White,Sedan,1800,44979,8700000
Every Wagon JP,Suzuki,sindh,2008,Petrol,Automatic,White,Micro Van,660,80000,825000
Sportage AWD,KIA,sindh,2023,Petrol,Automatic,Black,Crossover,2000,31000,8000000
Mira X,Daihatsu,sindh,2013,Petrol,Automatic,Maroon,Hatchback,660,127000,2400000
D-Max X-Terrain,Isuzu,sindh,2025,Diesel,Automatic,Onyx Black,Double Cabin,3000,55,14900000
City Aspire Prosmatec 1.5 i-VTEC,Honda,sindh,2018,Petrol,Automatic,Taffeta White,Sedan,1500,74000,3900000
Civic VTi Oriel Prosmatec 1.6,Honda,sindh,2001,Petrol,Automatic,Blue,Sedan,1600,10000,1399000
Move X SA 2,Daihatsu,sindh,2021,Petrol,Automatic,Black,Hatchback,658,20000,3475000
Alto VXR,Suzuki,sindh,2021,Petrol,Manual,Solid White,Hatchback,660,86000,2360000
Prius S LED Edition 1.8,Toyota,sindh,2013,Hybrid,Automatic,Silver Metallic,Sedan,1800,147602,4300000
Cultus EURO II,Suzuki,sindh,2015,Petrol,Manual,White,Hatchback,1000,2314,1500000
Corolla Altis Grande CVT-i 1.8,Toyota,sindh,2015,Petrol,Automatic,Burgundy,Sedan,1800,103000,3350000
Hilux Vigo G,Toyota,sindh,2011,Diesel,Automatic,Black,Single Cabin,2500,157900,5262000
Freed,Honda,sindh,2012,Petrol,Automatic,Silver,Hatchback,1500,190000,3300000
Corolla SE Saloon Automatic,Toyota,sindh,2004,Petrol,Automatic,Mehroon,Sedan,1600,141500,1900000
Axela,Mazda,sindh,2007,Petrol,Automatic,Grey,Hatchback,1500,138000,1900000
Alto VXR,Suzuki,sindh,2020,Petrol,Manual,Silky Silver,Hatchback,660,65000,2250000
Vitz F 1.0,Toyota,sindh,2010,Petrol,Automatic,Grey,Hatchback,1000,110000,2150000
Note e-Power X,Nissan,sindh,2020,Hybrid,Automatic,Pearl White,Hatchback,1200,5000,5875000
Raize Z,Toyota,sindh,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,29000,6100000
Mira G SA III,Daihatsu,sindh,2023,Petrol,Automatic,Turquoise,Hatchback,660,2450,3945000
T9 Hunter,JAC,sindh,2025,Diesel,Automatic,Black,Pick Up,2000,35,11350000
Swift DX 1.3,Suzuki,sindh,2014,Petrol,Manual,Graphite Grey,Hatchback,1300,82450,1890000
Sportage FWD,KIA,sindh,2021,Petrol,Automatic,White,Crossover,2000,63000,6525000
Alto VXR,Suzuki,sindh,2022,Petrol,Manual,Pearl Black,Hatchback,660,18817,2700000
C-HR G Nero,Toyota,sindh,2019,Hybrid,Automatic,White Pearl,Crossover,1800,70000,8400000
Yaris Hatchback G 1.0,Toyota,sindh,2020,Petrol,Automatic,Grey,Hatchback,996,45252,5100000
Dayz Highway Star X,Nissan,sindh,2018,Petrol,Automatic,Pearl White,Hatchback,660,47584,3000000
Mira X SA lll,Daihatsu,sindh,2021,Petrol,Automatic,Silver,Hatchback,660,26000,3650000
Sportage AWD,KIA,sindh,2022,Petrol,Automatic,Black,Crossover,2000,10200,7650000
Note e-Power X,Nissan,sindh,2021,Hybrid,Automatic,Pure White,Hatchback,1200,15000,7100000
Sirius S80 Grand 1.5,FAW,sindh,2017,Petrol,Manual,White,MPV,1500,65000,2000000
Corolla Altis X Automatic 1.6,Toyota,sindh,2021,Petrol,Automatic,Silver,Sedan,1600,72000,5250000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2019,Petrol,Automatic,Taffeta White,Sedan,1800,67000,5350000
e-tron 50 quattro 230 kW,Audi,sindh,2020,Electric,Automatic,Mythos Black Metallic,SUV,1000,33000,17400000
Swift GLX CVT,Suzuki,sindh,2025,Petrol,Automatic,Solid White,Hatchback,1200,40,5100000
Corolla GLi Automatic 1.3 VVTi,Toyota,sindh,2019,Petrol,Automatic,Grey Graphite,Sedan,1300,65000,4450000
Civic VTi 1.6,Honda,sindh,1997,Petrol,Manual,Dark Maroon,Sedan,1600,106000,1300000
Karvaan Plus,Changan,sindh,2021,Petrol,Manual,White,Mini Van,1000,87504,2200000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,sindh,2015,Petrol,Automatic,White,Sedan,1800,55051,3650000
Corolla Fielder Hybrid G Aerotourer,Toyota,sindh,2015,Hybrid,Automatic,Pearl White,Station Wagon,1500,107700,4850000
Benz C Class C63 AMG,Mercedes Benz,sindh,2017,Petrol,Automatic,Obsidian Black Metallic,Coupe,4000,80000,5000000
Corolla Altis X Automatic 1.6,Toyota,sindh,2021,Petrol,Automatic,White,Sedan,1600,87000,5200000
Alto VXL AGS,Suzuki,sindh,2021,Petrol,Automatic,Solid White,Hatchback,660,44000,2700000
Alto VXR,Suzuki,sindh,2008,Petrol,Manual,White,Hatchback,1000,125000,920000
Lancer GLX SR Automatic 1.6,Mitsubishi,sindh,2007,Petrol,Automatic,Blue,Sedan,1600,108000,1650000
Passo X V Package,Toyota,sindh,2008,Petrol,Automatic,Silver,Hatchback,1000,130000,1680000
Cultus VXRi,Suzuki,sindh,2008,Petrol,Manual,Solid White,Hatchback,1000,70000,800000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2017,Petrol,Automatic,Taffeta White,Sedan,1800,73200,4550000
Santro,Hyundai,sindh,2005,Petrol,Manual,Silver,Hatchback,1000,225000,895000
Hijet,Daihatsu,sindh,2020,Petrol,Automatic,Silver,Hatchback,660,59000,2300000
Mira G SA III,Daihatsu,sindh,2022,Petrol,Automatic,Pearl White,Hatchback,660,4200,2325000
Civic VTi Prosmatec 1.8 i-VTEC,Honda,sindh,2009,Petrol,Automatic,Alabaster Silver,Sedan,1800,75000,1995000
Hilux Revo GR-S,Toyota,sindh,2024,Diesel,Automatic,Attitude Black,Truck,2800,550,16390000
Mehran VX (CNG),Suzuki,sindh,2005,LPG,Manual,Solid White,Hatchback,800,100000,580000
Alto VXR,Suzuki,sindh,2019,Petrol,Automatic,Graphite Grey,Hatchback,660,55000,2300000
Note e-Power Autech,Nissan,sindh,2020,Hybrid,Automatic,Mehroon,Hatchback,1200,88298,4700000
Mira X SA lll,Daihatsu,sindh,2022,Petrol,Automatic,Pearl White,Hatchback,660,29259,3625000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2018,Petrol,Automatic,Lunar Silver Metallic,Sedan,1800,89028,5300000
Mira ES,Daihatsu,sindh,2013,Petrol,Automatic,Silver,Hatchback,660,133031,2300000
Wagon R Hybrid FX,Suzuki,sindh,2019,Hybrid,Automatic,White,Hatchback,660,72582,3200000
Stella,Subaru,sindh,2015,Petrol,Automatic,Silver,Hatchback,660,126000,2425000
Alto VXR,Suzuki,sindh,2024,Petrol,Manual,White,Hatchback,660,4000,2750000
Wagon R FX Limited,Suzuki,sindh,2011,Petrol,Automatic,Pearl White,Hatchback,660,133466,2100000
Aqua S,Toyota,sindh,2018,Hybrid,Automatic,Pearl White,Hatchback,1500,79508,5500000
Pearl MT,Prince,sindh,2021,Petrol,Manual,Silver,Hatchback,800,13861,1150000
Sonata 2.5,Hyundai,sindh,2022,Petrol,Automatic,Diamond Metallic Black,Sedan,2500,13155,9800000
Yaris Hatchback X,Toyota,sindh,2024,Petrol,Automatic,White,Hatchback,1000,4000,5400000
Elantra GLS,Hyundai,sindh,2023,Petrol,Automatic,Black Diamond,Sedan,2000,10287,6350000
Hilux Revo GR-S,Toyota,sindh,2025,Diesel,Automatic,Attitude Black,Truck,2800,5,16800000
C-HR G,Toyota,sindh,2018,Hybrid,Automatic,White,Crossover,1800,168760,7000000
Yaris Sedan ATIV X CVT 1.5,Toyota,sindh,2022,Petrol,Automatic,White,Sedan,1500,67837,4450000
T9 Hunter,JAC,sindh,2025,Diesel,Automatic,Black,Pick Up,2000,3461,11500000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,sindh,2014,Petrol,Automatic,Black,Sedan,1800,88000,3550000
Corolla Altis Grande CVT-i 1.8,Toyota,sindh,2024,Petrol,Automatic,White,Sedan,1800,12000,7500000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2019,Petrol,Automatic,Lunar Silver Metallic,Sedan,1800,73000,5075000
Alto VS,Suzuki,sindh,2006,Petrol,Automatic,White,Hatchback,660,26000,800000
Alto VXL AGS,Suzuki,sindh,2024,Petrol,Automatic,Solid White,Hatchback,660,47000,3100000
Yaris Sedan ATIV CVT 1.3,Toyota,sindh,2022,Petrol,Automatic,Silver Metallic,Sedan,1300,47000,4190000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,sindh,2010,Petrol,Automatic,Alabaster Silver,Sedan,1800,95200,2450000
Swift GLX CVT,Suzuki,sindh,2022,Petrol,Automatic,Silky Silver,Hatchback,1200,47000,4090000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2018,Petrol,Automatic,Crystal Black,Sedan,1800,66000,4850000
Jimny,Suzuki,sindh,2016,Petrol,Automatic,Silver,Hatchback,660,80000,2850000
Tucson,Hyundai,sindh,2022,Petrol,Automatic,Black,Hatchback,2000,39500,7500000
Mira L SA III,Daihatsu,sindh,2021,Petrol,Automatic,Unlisted,Hatchback,660,23700,3200000
Alto X,Suzuki,sindh,2005,Petrol,Automatic,White,Hatchback,660,10000,900000
Stella G Smart Assist,Subaru,sindh,2022,Petrol,Automatic,Pearl White,Hatchback,660,22000,3600000
Mehran VXR,Suzuki,sindh,2006,Petrol,Manual,Silver Metallic,Hatchback,800,100000,520000
Raize Z,Toyota,sindh,2020,Petrol,Automatic,Bright Silver Metallic,Crossover,1000,49000,5850000
Khyber GA,Suzuki,sindh,1992,Petrol,Manual,Grey,Hatchback,1000,100000,290000
Crown Royal Saloon,Toyota,sindh,1995,Petrol,Automatic,Frosty White,Sedan,3000,265000,3000000
Every,Suzuki,sindh,2009,Petrol,Automatic,White,Hatchback,660,80000,1530000
Raize Z,Toyota,sindh,2021,Petrol,Automatic,Shining White Pearl,Crossover,1000,23000,6500000
Dayz X,Nissan,sindh,2015,Petrol,Automatic,Silver Metallic,Hatchback,660,19200,2125000
Fortuner 2.7 VVTi,Toyota,sindh,2018,Petrol,Automatic,Black,SUV,2700,49738,11800000
Every Wagon,Suzuki,sindh,2018,Petrol,Automatic,Silver,Hatchback,660,105440,3100000
Mira X SA lll,Daihatsu,sindh,2023,Petrol,Automatic,Pearl White,Hatchback,660,11111,4000000
Yaris Hatchback G 1.0,Toyota,sindh,2023,Petrol,Automatic,White,Hatchback,996,3630,5300000
Yaris Hatchback G 1.0,Toyota,sindh,2024,Petrol,Automatic,White,Hatchback,996,11111,5700000
Cultus Limited Edition,Suzuki,sindh,2016,Petrol,Manual,Sand Beige,Hatchback,1000,23645,1600000
Alto VXR,Suzuki,sindh,2024,Petrol,Manual,White,Hatchback,660,10000,2749000
Alto VXL AGS,Suzuki,sindh,2019,Petrol,Automatic,Solid White,Hatchback,660,88000,2400000
Corolla Altis Automatic 1.6,Toyota,sindh,2020,Petrol,Automatic,Super White,Sedan,1600,53000,4950000
Mira X SA lll,Daihatsu,sindh,2021,Petrol,Automatic,Blue,Hatchback,660,12000,3475000
Liana RXi,Suzuki,sindh,2007,Petrol,Manual,Graphite Grey,Sedan,1300,200147,1150000
Accord 24TL,Honda,sindh,2012,Petrol,Automatic,Crystal Black Pearl,Sedan,2400,86000,4600000
Dayz X,Nissan,sindh,2015,Petrol,Automatic,Silver Metallic,Hatchback,660,19200,2125000
Mira G SA III,Daihatsu,sindh,2023,Petrol,Automatic,Turquoise,Hatchback,660,2450,3945000
FX GA,Suzuki,sindh,2023,Petrol,Manual,Silver,Hatchback,800,100000,220000
Cuore CL Eco,Daihatsu,sindh,2008,Petrol,Manual,Beige,Hatchback,800,13000,850000
Swift DLX Automatic 1.3,Suzuki,sindh,2016,Petrol,Automatic,White,Hatchback,1300,56000,2350000
Liana RXi,Suzuki,sindh,2008,Petrol,Manual,Silver,Sedan,1300,88000,1350000
T9 Hunter,JAC,sindh,2025,Diesel,Automatic,Black,Pick Up,2000,35,11350000
Cuore CX Eco,Daihatsu,sindh,2012,Petrol,Manual,Red Wine,Hatchback,800,134000,1330000
Alto VXR,Suzuki,sindh,2023,Petrol,Manual,Silky Silver,Hatchback,660,100000,2400000
Mira X,Daihatsu,sindh,2006,Petrol,Automatic,Silver,Hatchback,660,280000,1350000
Mira X Memorial Edition,Daihatsu,sindh,2016,Petrol,Automatic,Black,Hatchback,660,81000,2425000
Alto VXR,Suzuki,sindh,2021,Petrol,Manual,Grey,Hatchback,660,42000,2350000
Alto VXR,Suzuki,sindh,2001,Petrol,Automatic,Silky Silver,Hatchback,1000,82000,1100000
Swift DX 1.3,Suzuki,sindh,2014,Petrol,Manual,Graphite Grey,Hatchback,1300,82450,1890000
Sportage FWD,KIA,sindh,2021,Petrol,Automatic,White,Crossover,2000,63000,6525000
Cuore CX Eco,Daihatsu,sindh,2008,Petrol,Manual,Silver,Hatchback,800,65,815000
Sunny,Nissan,sindh,1991,Petrol,Automatic,White,Hatchback,1300,130000,420000
Corolla Axio G,Toyota,sindh,2016,Petrol,Automatic,White,Sedan,1500,153000,5600000
Corolla GLi 1.3,Toyota,sindh,2003,Petrol,Manual,Green,Sedan,1300,260000,1750000
Yaris Sedan ATIV MT 1.3,Toyota,sindh,2021,Petrol,Manual,Silver,Sedan,1300,56000,3600000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,sindh,2008,Petrol,Automatic,Grey,Sedan,1800,300000,2050000
Prado TX 2.7,Toyota,sindh,2012,Petrol,Automatic,White,SUV,2700,104000,14200000
Taycan Base Model,Porsche,sindh,2021,Electric,Automatic,Frozen Blue Metallic,Sedan,1000,21000,34000000
Corolla Altis Automatic 1.6,Toyota,sindh,2018,Petrol,Automatic,Super White,Sedan,1600,52000,4200000
Benz E Class E 180 AMG,Toyota,sindh,2021,Petrol,Automatic,Obsidian Black Metallic,Sedan,1500,6000,4200000
City 1.3 i-VTEC Prosmatec,Honda,sindh,2017,Petrol,Automatic,Grey,Sedan,1300,125796,3300000
Raize Z,Toyota,sindh,2021,Petrol,Automatic,Black Mica Metallic,Crossover,1000,19000,5700000
A3 1.2 TFSI Standard,Audi,sindh,2019,Petrol,Automatic,White,Sedan,1200,29000,7200000
A5 1.4 TFSI Sportback,Audi,sindh,2019,Petrol,Automatic,Black,Sedan,1400,19000,15800000
Raize Z,Toyota,sindh,2020,Petrol,Automatic,Turquoise Blue Metallic,Crossover,1000,78445,5600000
Swift DLX Automatic 1.3 Navigation,Suzuki,sindh,2018,Petrol,Automatic,Silky Silver,Hatchback,1300,72000,2550000
Cultus Limited Edition,Suzuki,sindh,2016,Petrol,Manual,White,Hatchback,1000,86000,1745000
iX xDrive40,BMW,sindh,2022,Electric,Automatic,Black Sapphire,Crossover,1000,23000,33000000
Vitz F 1.0,Toyota,sindh,2014,Petrol,Automatic,Grey,Hatchback,1000,98000,3050000
Civic RS,Honda,sindh,2023,Petrol,Automatic,Black,Sedan,1500,7600,9300000
Voxy,Toyota,sindh,2017,Petrol,Automatic,Silver,Hatchback,1800,160000,6000000
Alto VXL AGS,Suzuki,sindh,2019,Petrol,Automatic,Silky Silver,Hatchback,660,124800,2600000
Benz E Class E 180 AMG,Mercedes Benz,sindh,2021,Petrol,Automatic,Obsidian Black Metallic,Sedan,1500,6000,12400000
Alto VXR,Suzuki,sindh,2022,Petrol,Manual,Pearl Black,Hatchback,660,18817,2700000
Charade CX,Daihatsu,sindh,2022,Petrol,Manual,Black,Hatchback,1000,60000,280000
C-HR G Nero,Toyota,sindh,2019,Hybrid,Automatic,White Pearl,Crossover,1800,70000,8400000
Crown,Toyota,sindh,2022,Hybrid,Automatic,Black,Hatchback,2500,26000,35500000
Yaris Hatchback G 1.0,Toyota,sindh,2020,Petrol,Automatic,Grey,Hatchback,996,45252,5100000
Civic VTi Oriel Prosmatec 1.6,Honda,sindh,2006,Petrol,Automatic,Grenada Black Pearl,Sedan,1600,128000,1750000
Rover Vogue 4.4 V8,Range Rover,sindh,2005,Petrol,Automatic,Java Black,SUV,4400,189260,5500000
Liana,Suzuki,sindh,2006,Petrol,Manual,Blue,Hatchback,1300,180000,960000
City 1.3 i-VTEC Prosmatec,Honda,sindh,2018,Petrol,Automatic,Taffeta White,Sedan,1300,66000,3650000
Dayz Highway Star X,Nissan,sindh,2018,Petrol,Automatic,Pearl White,Hatchback,660,47584,3000000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,sindh,2013,Petrol,Automatic,Crystal Black,Sedan,1800,100000,3280000
Accord CL7,Honda,sindh,2004,Petrol,Automatic,Blue,Sedan,2000,190000,2200000
Prado TX Limited 2.7,Toyota,sindh,2020,Petrol,Automatic,Super White,SUV,2700,31000,6200000
LX Series LX570,Lexus,sindh,2019,Petrol,Automatic,Pearl White,SUV,5700,13000,67500000
Mira X SA lll,Daihatsu,sindh,2021,Petrol,Automatic,Silver,Hatchback,660,26000,3650000
Benz E Class E200 AMG,Daihatsu,sindh,2021,Petrol,Automatic,Mojave Silver,Sedan,1991,13500,3650000
Prado VX 2.7,Toyota,sindh,2024,Petrol,Automatic,Black,SUV,2700,300,23500000
Alto,Suzuki,sindh,2007,Petrol,Manual,Silver,Hatchback,1000,12345,835000
Yaris Hatchback G 1.0,Toyota,sindh,2021,Petrol,Automatic,Black,Hatchback,996,85500,4240000
HS PHEV,MG,sindh,2025,Hybrid,Automatic,York White,Crossover,1500,10,6050000
Prado TZ-G 2.8L Diesel,Toyota,sindh,2021,Diesel,Automatic,Black,SUV,2754,17800,6200000
Prius S 1.8,Toyota,sindh,2015,Hybrid,Automatic,Silver Metallic,Sedan,1800,148000,4870000
Liana Eminent Automatic 1.3,Suzuki,sindh,2007,Petrol,Automatic,White,Sedan,1300,100000,1150000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2018,Petrol,Automatic,Silver,Sedan,1800,102959,5475000
Santro Club,Hyundai,sindh,2005,Petrol,Manual,Black,Hatchback,1000,146435,900000
Tucson AWD A/T Ultimate,Hyundai,sindh,2023,Petrol,Automatic,Polar White,SUV,2000,17000,7750000
Hilux Revo V Automatic 2.8,Toyota,sindh,2021,Diesel,Automatic,Super White,Double Cabin,2800,51000,11250000
Pleo Plus F,Subaru,sindh,2020,Petrol,Automatic,Silver,Hatchback,660,61452,3200000
Alto S Package,Suzuki,sindh,2021,Petrol,Automatic,Black,Hatchback,660,37,3275000
Prius S 1.8,Toyota,sindh,2014,Hybrid,Automatic,Silver,Sedan,1800,170000,4150000
Corolla Altis Automatic 1.6,Toyota,sindh,2020,Petrol,Automatic,White,Sedan,1600,78000,4950000
Rocky G,Daihatsu,sindh,2020,Petrol,Automatic,Black,Crossover,1000,38000,5550000
Benz C Class C180,Mercedes Benz,sindh,2012,Petrol,Automatic,White,Sedan,1800,67000,6590000
Alphard,Toyota,sindh,2020,Hybrid,Automatic,White,Hatchback,2500,34000,37900000
HS 1.5 Turbo,MG,sindh,2021,Petrol,Automatic,Black,Crossover,1500,20000,6800000
Sienta G,Toyota,sindh,2018,Petrol,Automatic,Black,Van,1500,83000,5750000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2018,Petrol,Automatic,Silver,Sedan,1800,102959,5475000
Sportage AWD,KIA,sindh,2022,Petrol,Automatic,Black,Crossover,2000,10200,7650000
Note e-Power X,Nissan,sindh,2021,Hybrid,Automatic,Pure White,Hatchback,1200,15000,7100000
City 1.3 i-VTEC Prosmatec,Honda,sindh,2018,Petrol,Automatic,Taffeta White,Sedan,1300,66400,3650000
Yaris Sedan ATIV MT 1.3,Toyota,sindh,2020,Petrol,Manual,Super White,Sedan,1300,100,3800000
Sirius S80 Grand 1.5,FAW,sindh,2017,Petrol,Manual,White,MPV,1500,65000,2000000
Mira X SA lll,Daihatsu,sindh,2022,Petrol,Automatic,Pearl White,Hatchback,660,29259,3625000
Cultus VXR,Suzuki,sindh,2019,Petrol,Manual,Grey,Hatchback,1000,88000,2450000
Civic Oriel 1.8 i-VTEC CVT,Honda,sindh,2018,Petrol,Automatic,Lunar Silver Metallic,Sedan,1800,89028,5300000
Bolan,Suzuki,sindh,2016,Petrol,Manual,White,Hatchback,800,66000,1250000
Mira ES,Daihatsu,sindh,2013,Petrol,Automatic,Silver,Hatchback,660,133031,2300000
Cuore CX Automatic,Daihatsu,sindh,2011,Petrol,Automatic,Gold,Hatchback,800,100000,1275000
Vezel Hybrid Z,Honda,sindh,2015,Hybrid,Automatic,Crystal Black Pearl,Crossover,1500,120000,4700000
Corolla GLi 1.3 VVTi,Toyota,sindh,2014,Petrol,Manual,Brown,Sedan,1300,110000,2930000
