Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price
Corolla Altis Grande CVT-i 1.8,Toyota,punjab,2017,Petrol,Automatic,White,Sedan,1800,73000,5300000
Sportage FWD,KIA,punjab,2022,Petrol,Automatic,White,Crossover,2000,22000,7350000
Sakura G,Nissan,punjab,2022,Electric,Automatic,Silver,Hatchback,1000,4200,4790000
A4 1.4 TFSI ,Audi,punjab,2016,Petrol,Automatic,Black,Sedan,1400,89500,9900000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,52000,5395000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2021,Petrol,Automatic,Taffeta White,Sedan,1800,11690,7000000
Cast Style G SA III,Daihatsu,punjab,2022,Petrol,Automatic,Pink,Hatchback,660,30000,3590000
Corolla GLi Automatic 1.3 VVTi,Toyota,punjab,2020,Petrol,Automatic,Attitude Black,Sedan,1300,41000,4850000
Wagon R Hybrid FX,Suzuki,punjab,2022,Hybrid,Automatic,Silver,Hatchback,660,52000,3775000
Benz S Class S500,Mercedes Benz,punjab,2006,Petrol,Automatic,Black,Sedan,5500,103000,18500000
Surf SSR-G 3.4,Toyota,punjab,2005,Petrol,Automatic,Black Mica,SUV,3400,134000,8000000
Yaris Hatchback X,Toyota,punjab,2022,Petrol,Automatic,Super White,Hatchback,1000,60000,4550000
Benz C Class C180,Mercedes Benz,punjab,2006,Petrol,Automatic,Iridium Silver,Sedan,2000,194360,3000000
Saga 1.3L Ace A/T,Proton,punjab,2022,Petrol,Automatic,Armour Silver,Sedan,1299,40000,3350000
City 1.3 i-VTEC,Honda,punjab,2018,Petrol,Manual,Black,Sedan,1300,90000,3450000
City 1.3 i-VTEC,Honda,punjab,2015,Petrol,Manual,Taffeta White,Sedan,1300,105000,3375000
Swift DLX Automatic 1.3 Navigation,Suzuki,punjab,2021,Petrol,Automatic,Solid White,Hatchback,1300,53270,3480000
Wagon R VXL,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,1000,52000,2880000
Fortuner 2.8 Sigma 4,Toyota,punjab,2021,Diesel,Automatic,Attitude Black,SUV,2800,49000,15700000
Corolla GLi 1.3 VVTi,Toyota,punjab,2010,Petrol,Manual,Medium Silver,Sedan,1300,145000,2625000
Prado TX Limited 2.7,Toyota,punjab,2013,Petrol,Automatic,White,SUV,2700,132000,19000000
City i-DSI,Honda,punjab,2006,Petrol,Manual,Taffeta White,Sedan,1300,275000,1875000
Tiida 15S,Nissan,punjab,2006,Petrol,Automatic,Brilliant Silver,Hatchback,1500,200000,1750000
Classic LX,KIA,punjab,2005,CNG,Manual,White,Compact sedan,1323,110000,650000
Corolla Altis Grande X CVT-i 1.8 Beige Interior,Toyota,punjab,2024,Petrol,Automatic,Super White,Sedan,1800,22000,7600000
Civic RS,Honda,punjab,2025,Petrol,Automatic,Taffeta White,Sedan,1500,10,10000000
Move X SA 2,Daihatsu,punjab,2021,Petrol,Automatic,White,Hatchback,660,79000,3550000
N Box,Honda,punjab,2025,Petrol,Automatic,Silver,Hatchback,660,10000,3350000
Wagon R VXR,Suzuki,punjab,2021,Petrol,Manual,White,Hatchback,1000,73000,2350000
Wagon R VXL,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,1000,52000,2880000
Hustler,Suzuki,punjab,2015,Petrol,Automatic,White,Hatchback,660,126000,2500000
Wagon R VXL,Suzuki,punjab,2018,Petrol,Manual,Silky Silver,Hatchback,1000,140000,2150000
Mehran VXR,Suzuki,punjab,1996,Petrol,Manual,Snow White Pearl,Hatchback,800,199900,544000
City Aspire 1.3 i-VTEC,Honda,punjab,2015,Petrol,Manual,Urban Titanium,Sedan,1300,117000,2890000
Corolla GLi Limited Edition 1.3 VVTi,Toyota,punjab,2013,Petrol,Manual,Medium Silver,Sedan,1300,110000,3325000
Alsvin 1.5L DCT Lumiere,Changan,punjab,2022,Petrol,Automatic,White,Sedan,1500,69000,3850000
Boon Style,Daihatsu,punjab,2023,Petrol,Automatic,White,Hatchback,996,2955,4600000
City i-DSI,Honda,punjab,2008,Petrol,Manual,Metallic Grey,Sedan,1300,125936,2200000
Mehran VXR Euro II,Suzuki,punjab,2018,Petrol,Manual,Blue,Hatchback,800,56210,1450000
Civic 1.5 RS Turbo,Honda,punjab,2020,Petrol,Automatic,Maroon,Sedan,1500,36500,7450000
Alsvin 1.5L DCT Lumiere,Changan,punjab,2022,Petrol,Automatic,Space Gray,Sedan,1500,63222,3300000
Alto VXR,Suzuki,punjab,2021,Petrol,Manual,White,Hatchback,660,30129,2475000
Sportage AWD,KIA,punjab,2022,Petrol,Automatic,Sparkling Silver,Crossover,2000,88000,7600000
Civic Oriel,Honda,punjab,2024,Petrol,Automatic,Teffeta White,Sedan,1500,9083,8450000
BR-V i-VTEC S,Honda,punjab,2017,Petrol,Automatic,Taffeta White,MPV,1500,63600,4600000
Sonata 2.0,Hyundai,punjab,2024,Petrol,Automatic,Polar White,Sedan,2000,7093,10000000
Corolla XLi,Toyota,punjab,2007,Petrol,Manual,Super White,Sedan,1300,153982,2850000
City Aspire Prosmatec 1.5 i-VTEC,Honda,punjab,2021,Petrol,Automatic,Crystal Black Pearl,Sedan,1500,52049,4200000
Corolla Altis Automatic 1.6,Toyota,punjab,2017,Petrol,Automatic,Super White,Sedan,1600,84000,4400000
Corolla GLi 1.3 VVTi,Toyota,punjab,2019,Petrol,Manual,Attitude Black,Sedan,1300,4000,5225000
Yaris Sedan GLI CVT 1.3,Toyota,punjab,2024,Petrol,Automatic,White,Sedan,1300,19000,4700000
Mehran VXR Euro II,Suzuki,punjab,2018,Petrol,Manual,Blue,Hatchback,800,56210,1450000
Sportage FWD,KIA,punjab,2021,Petrol,Automatic,White,Crossover,2000,44000,7245000
Dayz X,Nissan,punjab,2019,Petrol,Automatic,Gray Metallic,Hatchback,660,98200,2390000
H6 HEV,Haval,punjab,2025,Hybrid,Automatic,Black,Compact SUV,1500,800,12400000
Wagon R FX,Suzuki,punjab,2014,Petrol,Automatic,White,Hatchback,660,76000,2450000
Serena,Nissan,punjab,2018,Hybrid,Automatic,White,Hatchback,1200,130000,6500000
